01/05/2025; 16:09; 127.0.0.1; aaaa; 127.0.0.1; sssss; msg:ssss
01/05/2025; 16:09; 127.0.0.1; sssss; 127.0.0.1; aaaa; msg:ssss
01/05/2025; 16:09; 127.0.0.1; aaaa; TODOS; TODOS; logoff
01/05/2025; 16:09; 127.0.0.1; ttttt; TODOS; TODOS; login
01/05/2025; 16:10; 127.0.0.1; ttttt; 127.0.0.1; sssss; msg:ssss
01/05/2025; 16:10; 127.0.0.1; sssss; 127.0.0.1; ttttt; msg:ssss
01/05/2025; 16:10; 127.0.0.1; ttttt; TODOS; TODOS; logoff
01/05/2025; 16:10; 127.0.0.1; sssss; TODOS; TODOS; logoff
01/05/2025; 16:10; 127.0.0.1; ssssss; TODOS; TODOS; login
01/05/2025; 16:10; 127.0.0.1; aaaaaa; TODOS; TODOS; login
01/05/2025; 16:10; 127.0.0.1; dddddd; TODOS; TODOS; login
01/05/2025; 16:10; 127.0.0.1; ssssss; 127.0.0.1; aaaaaa; msg:aaaaa
01/05/2025; 16:10; 127.0.0.1; aaaaaa; 127.0.0.1; dddddd; msg:sssss
01/05/2025; 16:10; 127.0.0.1; dddddd; TODOS; TODOS; logoff
01/05/2025; 16:11; 127.0.0.1; ssssss; TODOS; TODOS; logoff
01/05/2025; 16:11; 127.0.0.1; aaaaaa; TODOS; TODOS; logoff
01/05/2025; 16:11; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 16:11; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 16:11; 127.0.0.1; Duda; TODOS; TODOS; login
01/05/2025; 16:11; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:ssss
01/05/2025; 16:11; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:ssss
01/05/2025; 16:12; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:ssss
01/05/2025; 16:12; 127.0.0.1; Vini; 127.0.0.1; Duda; msg:sssss
01/05/2025; 16:12; 127.0.0.1; Vini; 127.0.0.1,127.0.0.1; Willi,Duda; msg:ssss
01/05/2025; 16:12; 127.0.0.1; Willi; 127.0.0.1,127.0.0.1; Vini,Duda; msg:ssssssss
01/05/2025; 16:12; 127.0.0.1; Duda; 127.0.0.1,127.0.0.1; Vini,Willi; msg:ssaasasas
01/05/2025; 16:12; 127.0.0.1; Duda; TODOS; TODOS; logoff
01/05/2025; 16:12; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 16:12; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 16:26; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 16:26; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 16:26; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Oi
01/05/2025; 16:26; 127.0.0.1; Willi; 127.0.0.1,127.0.0.1; Vini,Willi; msg:ii
01/05/2025; 16:26; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:jjjj
01/05/2025; 16:26; 127.0.0.1; Vini; 127.0.0.1,127.0.0.1; Vini,Willi; msg:jjjj
01/05/2025; 16:26; 127.0.0.1; Vini; 127.0.0.1,127.0.0.1; Vini,Willi; msg:Ola
01/05/2025; 16:26; 127.0.0.1; Willi; 127.0.0.1,127.0.0.1; Vini,Willi; msg:Ola
01/05/2025; 16:27; 127.0.0.1; Rafa; TODOS; TODOS; login
01/05/2025; 16:27; 127.0.0.1; Rafa; 127.0.0.1,127.0.0.1,127.0.0.1; Vini,Willi,Rafa; msg:Boa tarde
01/05/2025; 16:29; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 16:29; 127.0.0.1; Rafa; TODOS; TODOS; logoff
01/05/2025; 16:29; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 16:31; 127.0.0.1; sadsadsa; TODOS; TODOS; login
01/05/2025; 16:31; 127.0.0.1; asdasdasda; TODOS; TODOS; login
01/05/2025; 16:31; 127.0.0.1; sadsadsa; 127.0.0.1,127.0.0.1; sadsadsa,asdasdasda; msg:aaaa
01/05/2025; 16:31; 127.0.0.1; sadsadsa; TODOS; TODOS; logoff
01/05/2025; 16:31; 127.0.0.1; asdasdasda; TODOS; TODOS; logoff
01/05/2025; 16:35; 127.0.0.1; aaaa; TODOS; TODOS; login
01/05/2025; 16:35; 127.0.0.1; sssss; TODOS; TODOS; login
01/05/2025; 16:35; 127.0.0.1; aaaa; 127.0.0.1,127.0.0.1; aaaa,sssss; msg:aaaa
01/05/2025; 16:35; 127.0.0.1; sssss; 127.0.0.1; aaaa; msg:sssss
01/05/2025; 16:35; 127.0.0.1; aaaa; 127.0.0.1; sssss; msg:ssss
01/05/2025; 16:35; 127.0.0.1; aaaa; 127.0.0.1,127.0.0.1; aaaa,sssss; msg:teste
01/05/2025; 16:36; 127.0.0.1; aaaa; TODOS; TODOS; logoff
01/05/2025; 16:36; 127.0.0.1; sssss; TODOS; TODOS; logoff
01/05/2025; 16:41; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 16:41; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 16:41; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Privado
01/05/2025; 16:41; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:provado
01/05/2025; 16:42; 127.0.0.1; Vini; 127.0.0.1,127.0.0.1; Vini,Willi; msg:All
01/05/2025; 16:44; 127.0.0.1; Vini; TODOS; TODOS; login
